Week,AAPL,ABT,ACN,ADBE,AMGN,AMZN,BAC,BMY,CMCSA,COST,CSCO,CVX,DIS,GE,GOOGL,HD,HON,IBM,INTC,JNJ,JPM,KO,LIN,MA,MCD,MDT,META,MMM,MRK,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,QCOM,SBUX,T,TMUS,TSLA,TXN,UNH,UPS,V,VZ,WMT,XOM,Rf
5/24/2021,-0.013888759,-0.056098124,-0.001500126,-0.010315453,0.001827437,-0.013343192,0.016451435,-0.013848815,-0.016568027,-0.009367801,0.007747653,0.044461358,-0.015638802,-0.01811868,-0.00639108,-0.023025955,-0.008950656,0.012028999,-0.025809682,-0.010272521,0.011073989,0.002703392,-0.008178502,-0.000497354,-0.010261168,-0.01662009,-0.020165186,0.002115855,0.020254557,-0.014439611,-0.00862988,-0.028638894,-0.01750174,0.095670877,0.026715584,0.00791768,0.008279333,0.00644553,-0.013918128,-0.021055613,-0.016156429,0.007147442,-0.091955311,-0.016549836,-0.011485248,0.000918706,0.005510062,0.012257906,-0.000635154,0.044740202,9.62E-07
5/31/2021,0.020802779,0.008699652,0.016414699,0.085939092,0.037753447,0.051032184,-0.032011918,0.039969234,0.003724113,-0.002240296,0.031876942,0.007621761,0.001872424,-0.032646984,0.037293695,-0.004827454,-0.012870794,0.034284153,0.020270151,0.006263474,-0.034723398,0.004852499,-0.023358644,0.006853982,0.01477987,0.013569401,0.019690681,-0.002651196,0.030171483,0.046925008,0.02112151,-0.004413305,-0.021805974,0.026827352,0.014921661,0.006828264,0.043879912,-0.000441471,0.023712918,0.009809397,-0.001710567,0.029440476,0.065079251,0.010752955,-0.015859283,-0.041418995,0.025601636,0.006318242,-0.012146836,0.025662071,2.88E-06
6/7/2021,0.045040216,0.013436122,0.00193495,0.029578662,-0.01585998,0.041673056,-0.045334457,-0.009200145,0.016254392,0.004543068,-0.034526416,-0.012360551,-0.010873974,-0.046221686,-0.000106754,-0.016833419,-0.044022141,-0.032815301,-0.00348551,-0.011132422,-0.053865502,-0.017170593,-0.010643083,0.008207612,-0.003026482,0.003767928,0.012182168,-0.039334734,0.014315743,0.01422781,0.014555745,0.022718426,-0.015727644,0.070962314,-0.057594003,0.006232684,-0.029498386,-0.013255889,0.008419168,-0.007307685,-0.015078762,-0.000409453,0.010620879,-0.00186172,-0.010311635,-0.025344326,-0.007693955,-0.014126501,-0.015441803,-0.012111452,3.85E-06
6/14/2021,0.01229204,0.000627342,0.023843846,0.048788496,0.000789138,-0.011509732,0.025879311,-0.013778865,-0.025382564,0.019025297,-0.006587879,0.000653648,0.018780478,0.01153832,0.006213899,0.02876772,0.006472764,-0.00109916,-0.019412321,-0.011197155,0.004942027,-0.00273274,-0.007345782,0.020310806,-0.002351607,-0.000958209,0.019821062,-0.009633762,-0.002766179,0.022192866,-0.022794228,0.03957138,0.036301696,0.029385627,0.002320678,-0.019189366,-0.007345469,-0.007239215,0.018987753,0.005386166,0.001739496,-0.005804014,0.102530002,0.005115821,0.003825245,0.040645958,0.017618082,-0.002830114,-0.005881519,0.040812953,5.38E-06
6/21/2021,0.028933591,0.048880762,0.028947942,0.011188688,0.024693976,-0.004670789,0.017389247,0.010782134,0.030146223,0.006274405,0.01250466,-0.008679972,-0.003765602,0.025094872,-0.000453019,0.031105538,0.013459444,0.009626105,-0.001070128,0.015853638,0.029965213,-0.007905775,0.020026026,-0.010780359,-0.004542954,0.013401488,0.032665099,0.030166589,0.021346237,0.018410606,0.017974841,0.029880671,0.182634926,0.052406795,0.023154506,0.017368049,0.009441228,0.016689191,0.02088175,0.012679879,0.011115462,-0.001785781,-0.002794916,0.011823341,0.018810476,0.019990383,-0.004614061,-0.001419386,0.017602816,-0.019528825,8.27E-06
6/28/2021,0.043491024,0.017924289,0.030500055,0.036290309,-0.010611549,0.086933455,-0.066442274,0.009354969,0.008311906,0.031987158,-0.003368206,-0.033989481,-0.025160715,-0.044525391,0.021230041,-0.009330142,-0.005892467,-0.041541845,-0.011069312,0.01879948,-0.039088354,0.003150323,-0.013237399,-0.001402685,0.002453936,0.010386104,-0.024662213,-0.004118843,0.001666935,0.02142861,0.012669979,-0.005210422,0.016645442,-0.01530048,0.076061861,0.011201183,-0.007836267,0.012865895,-0.017826688,0.022749268,-0.031948058,0.01045822,-0.037039748,-0.013623876,0.012497435,0.008800288,0.006208808,-0.01083686,0.001937962,-0.049320292,7.69E-06
7/5/2021,0.036581722,-0.021801235,0.018728601,0.000363018,0.009620074,-0.02685579,0.001289563,0.011096086,-0.00053153,0.011470086,0.014345861,-0.012670577,0.065682808,-0.008547079,0.015682384,0.013090896,0.06150832,-0.002060516,0.007582479,-0.004198984,0.035880855,0.042675025,0.01763106,0.055376275,0.017351017,-0.016321495,-0.003442877,0.021788304,-0.002816324,0.013012887,0.022494538,0.02296707,0.006599034,-0.04705387,0.00759452,0.035966849,0.021400915,0.015914771,0.022922945,0.025691937,0.033466215,0.010077838,-0.003385352,0.000106309,0.024636812,0.003725435,0.050462854,0.027034604,0.014829088,-0.019787157,8.27E-06
7/12/2021,-0.011314652,0.017488331,0.000657609,0.028886303,-0.007663297,0.001880959,-0.022405297,0.007860009,-0.002760933,0.013889623,0.016588598,-0.024481663,-0.048981754,-0.004702172,0.011153182,0.012240405,-0.000300442,0.001851091,0.002687633,0.009562184,-0.029139218,0.000531611,0.010854354,-0.020680177,0.00755652,0.013959896,0.019537965,-0.01737497,-0.017586636,0.018182812,-0.009112402,-0.05742706,0.012307216,0.03309831,0.055479306,-0.00038609,0.034422816,-0.0097732,0.006927548,0.030764063,-0.014773304,-0.024201376,-0.002059655,-0.02310651,-0.010189202,0.001737937,-0.017743015,-0.010609931,-0.002753087,-0.031212771,7.31E-06
7/19/2021,-0.007901692,0.024016965,0.013014741,-0.003174674,-0.009316083,-0.010475462,0.018967213,0.002795882,0.005537303,0.018536919,0.009718027,0.03794783,0.018386284,0.046456894,0.057280114,0.002357076,0.000601216,0.008670458,-0.040386039,0.012942424,0.01371478,0.010270833,0.014328603,0.017400996,0.02241589,0.028085845,0.020302455,-0.004520908,0.005226811,0.001258264,0.026800136,0.004845948,0.020222757,0.00347045,-0.033741268,0.010438757,0.031830167,0.01855796,0.060025355,-0.002038626,0.009996395,-0.000828863,0.043264681,0.03218983,-0.008874844,-0.100454779,0.015482784,0.000536096,0.006866441,0.031868272,8.27E-06
7/26/2021,0.009749849,0.009249296,0.006156743,0.016696163,-0.034933529,-0.062204174,0.008790072,0.003961746,0.003958066,0.044067034,0.012529291,-0.013064321,-0.009195345,-0.031038362,0.003491087,0.017346917,-0.012882033,0.005918268,0.003538375,0.008770362,0.00098055,-0.009640413,0.017966055,-0.043388747,-0.031145013,-0.02035495,0.012977172,-0.001867246,-0.017418386,0.010540963,0.029810342,0.020690354,0.041080508,0.049588193,0.02054095,-0.015943067,0.062587357,0.02165194,-0.027551584,-0.027373786,-0.01237182,-0.018668362,0.055038012,0.023216825,-0.002159897,-0.007246873,-0.031098564,-0.012147025,0.022848638,-0.02935681,7.69E-06
8/2/2021,0.012444003,0.004909608,0.004526935,0.003591252,-0.0249583,-0.021472199,0.080215452,-0.021484898,0.011827088,0.004896309,0.011298441,0.013928793,0.01460016,0.033973685,0.006917289,0.00273193,0.008961201,0.002101332,-3.87E-05,0.008693515,0.05641541,0.006017471,0.006003425,-0.02677829,0.001057577,-0.003905716,-0.000881657,0.018351992,0.005953053,0.001001823,0.031183972,-0.026996157,-0.018464512,-0.035470112,0.00424905,0.004925293,0.048379893,0.003157483,0.002179311,-0.027556137,0.00286315,0.019798516,0.010662832,-0.027386743,-0.012719113,0.01691008,-0.035052695,0.006148014,0.024537719,0.002622151,8.27E-06
8/9/2021,-0.013232708,0.023695219,0.020169972,0.005217936,-0.016480388,-0.035038632,-0.046500798,0.023300953,-0.001185886,0.019983872,0.015605579,-0.081352252,-0.033688374,-0.066654093,-0.011035485,-0.033291284,-0.014236491,-0.02419114,-0.020545486,0.019235155,-0.046418328,0.00035204,0.014706957,-0.012901658,0.002366135,0.011057085,-0.0207638,-0.03013451,0.031825495,0.024015657,0.018674942,0.064595122,-0.029594449,-0.005375749,-0.012248319,0.024762862,0.033023252,0.014270926,-0.044444295,-0.008520719,-0.017487214,-0.026599602,-0.067538918,-0.015063634,0.054019934,0.002169194,0.000412898,-0.004852556,0.01074995,-0.066641306,8.27E-06
8/16/2021,0.00572623,-0.001988743,0.015171277,0.023100151,-0.005391618,0.040232178,0.046031303,-0.02218657,0.000678685,-0.010896812,0.03369995,0.044975242,0.019105323,0.039831163,0.042456723,-0.004397649,0.01383218,0.005506655,0.013158058,-0.029512027,0.048418497,-0.023215108,0.000482136,-0.012454153,-0.001180487,0.034437256,0.026075642,-0.000204804,-0.024088797,0.009746869,-0.0087522,0.011789323,0.008031972,0.114658433,0.000112991,-0.026933584,-0.02909873,-0.017725327,0.012587808,0,-0.018525356,-0.023493065,0.041115397,0.015834559,-0.025800798,-0.008760314,-0.004534296,-0.013906432,-0.018386561,0.037549818,8.27E-06
8/23/2021,0.041412275,0.024069649,0.023317325,0.018777111,0.020273794,0.044366723,-0.024262609,-0.012986902,0.046609909,0.025950905,0.005574407,0.00504035,0.030018007,0.027858494,0.013054815,0.019472616,0.000389859,0.008862871,0.011293024,0.015403886,-0.007975247,0.022146261,0.01365145,-0.032817243,0.012323593,0.010197322,0.029913756,0.005415304,0.007182768,0.006887495,0.036578929,0.069857473,-0.019470381,0.014862689,0.012173116,0.015003578,-0.011397172,0.010742784,0.019244267,0.026679466,0.022946249,-0.010539528,0.044540491,0.007660999,0.016456615,0.035751703,-0.027503067,0.012637276,0.008211864,0.006762885,8.27E-06
8/30/2021,0.002733253,-0.003969414,0.000293391,-0.004453572,-0.045937435,0.006075369,0.002918868,-0.038415017,-0.035465539,0.010781665,-0.015622329,-0.017500933,0.022269999,-0.02795061,0.001772653,0.017442905,-0.034809709,-0.016212924,-0.006141765,-0.039215773,-0.007914829,-0.016029441,-0.005737028,0.029682332,0.000200514,-0.009648882,0.007247933,-0.046898417,-0.042790395,-0.012950289,-0.007400845,0.015274812,-0.000369557,-0.009603546,-0.002895262,-0.000971919,-0.017292949,0.000277904,-0.019849646,0.012098549,-0.007959925,-0.034452339,0.030680335,-0.004962767,-0.02161868,-0.046319085,0.014764894,-0.015373721,-0.014405029,-0.017973954,7.69E-06
9/6/2021,-0.034269799,-0.004219317,0.003312919,0.005183764,0.00825675,0.001171071,-0.011726889,-0.036961338,-0.038280486,-0.005644659,-0.021672416,0.013750114,-0.013823913,-0.018878726,0.000480591,0.013925476,-0.014713112,-0.00951082,0.02677899,-0.016957336,-0.006909809,-0.009130049,0.001215122,-0.01451304,0.019278223,-0.018811438,-0.013068692,-0.016635149,-0.025060802,0.026812392,-0.021435197,-0.018475714,-0.035141218,0.002930829,-0.025575285,-0.00109158,-0.033890724,0.000833243,-0.022460789,-0.034683244,0.006564709,-0.019248463,0.002821742,0.044303943,0.005524271,0.020951221,-0.01389074,-0.000183503,-0.009493241,0.031983821,7.31E-06
9/13/2021,-0.013172823,-0.016792084,0.002249758,-0.05152525,-0.01062756,-0.020709581,0.030655087,-0.009799184,-0.019378805,-0.022727639,-0.011163484,0.028154573,-0.038671304,0.015985768,-0.016670097,-0.001427118,0.000227608,0.002199012,-0.014590588,-0.002178949,0.019545694,-0.016299027,-0.008655755,0.022407781,0.006455333,-0.002138635,-0.072642469,-0.006186325,0.024102639,-0.018544194,-0.032499853,0.011526018,0.012563382,0.010790528,0.024871027,-0.009192613,-0.006296371,0.00055519,-0.032442468,-0.004621853,-0.014855139,0.015747343,-0.00442543,0.009399353,-0.017699423,-0.032025845,0.0177417,-0.00018372,-0.015583062,0.022572562,5.77E-06
9/20/2021,-0.036300665,-0.057222781,-0.067288779,-0.087375648,-0.011160272,-0.03833726,0.018229894,-0.024080596,-0.004272676,-0.00757549,-0.039866034,0.013891652,-0.04017016,0.000679805,-0.053393314,-0.022774058,-0.033773441,0.016090013,-0.013881178,-0.020381092,0.015572662,-0.029052616,-0.05474129,-0.018047438,-0.01499292,-0.035780769,-0.018990659,-0.03365817,0.028199792,-0.058886161,-0.033837909,0.028790104,-0.089923672,-0.078551985,-0.02560943,-0.024135479,-0.026702928,-0.030446004,-0.036815907,-0.033555236,-0.006619997,-0.02428578,0.028979409,-0.03251603,-0.042374303,-0.025108268,-0.024352776,-0.007533798,-0.023744438,0.030483402,4.81E-06
