question,n,fitness_type,pop_size,max_generations,Pc,Pm,best_run_index,chromosome,total_weight,total_value,best_fitness
th_population,20,simple,50,400,0.8,0.2,0,1101111111 1110001101,39.0,85.0,85.0
th_population,20,full,50,400,0.8,0.2,0,1111111111 1111111111,57.0,109.0,119859786547200.0
th_population,20,stupid,50,400,0.8,0.2,0,1111111100 1110011111,39.0,81.0,20808990719919.0
th_population,20,simple,100,400,0.8,0.2,0,1101111111 1110001101,39.0,85.0,85.0
th_population,20,full,100,400,0.8,0.2,0,1111111111 1111111111,57.0,109.0,119859786547200.0
th_population,20,stupid,100,400,0.8,0.2,0,1111011110 1110011111,39.0,81.0,20808990719919.0
th_population,20,simple,200,400,0.8,0.2,0,1101111111 1110001101,39.0,85.0,85.0
th_population,20,full,200,400,0.8,0.2,0,1111111111 1111111111,57.0,109.0,119859786547200.0
th_population,20,stupid,200,400,0.8,0.2,0,1111011110 1110011111,39.0,81.0,20808990719919.0
th_population,20,simple,300,400,0.8,0.2,0,1101111111 1110001101,39.0,85.0,85.0
th_population,20,full,300,400,0.8,0.2,0,1111111111 1111111111,57.0,109.0,119859786547200.0
th_population,20,stupid,300,400,0.8,0.2,0,1111011110 1110011111,39.0,81.0,20808990719919.0
th_population,60,simple,50,400,0.8,0.2,4,0110111111 1111001111 1111110111 1110011101 0110011111 1010110101,129.0,256.0,256.0
th_population,60,full,50,400,0.8,0.2,2,1111111111 1111111101 1111111111 0111111111 1111111111 1111110101,177.0,321.0,1.8867261552060127e+41
th_population,60,stupid,50,400,0.8,0.2,3,1110111111 0110011111 1110111110 1010101101 1110111101 1110111111,130.0,256.0,7.162316854979091e+36
th_population,60,simple,100,400,0.8,0.2,4,1111111111 1110010110 1010111111 1100111101 0110111101 1111110110,129.0,256.0,256.0
th_population,60,full,100,400,0.8,0.2,0,1011111111 1111111110 1111111111 1111111110 1111111111 1111111111,181.0,325.0,5.282833234576835e+41
th_population,60,stupid,100,400,0.8,0.2,2,0111010111 1111011111 1001111110 1110111101 0110111111 1010110111,128.0,258.0,7.219615389818926e+36
th_population,60,simple,200,400,0.8,0.2,2,1110111110 1111110111 1100110110 1010111111 0111111110 1010110101,130.0,258.0,258.0
th_population,60,full,200,400,0.8,0.2,2,1111011111 1111111111 1111011111 1111111111 1111111111 1111111111,180.0,329.0,1.8489916321018918e+42
th_population,60,stupid,200,400,0.8,0.2,1,1110011111 1100111111 1111111110 1000111101 0111111111 1011011101,129.0,257.0,1.3369658129294302e+37
th_population,60,simple,300,400,0.8,0.2,5,1110111111 0101110111 1011111111 1110110111 0110111110 1010110110,130.0,258.0,258.0
th_population,60,full,300,400,0.8,0.2,2,1111111111 1111111110 1101111111 1111111111 1111111111 1111111111,184.0,335.0,9.244958160509462e+42
th_population,60,stupid,300,400,0.8,0.2,5,0110111111 1101110111 1110111111 1000111111 0110111110 1011111011,130.0,257.0,9.553734871558219e+36
th_population,100,simple,50,400,0.8,0.2,2,0111010010 1101001011 1101010101 1110111101 1110001111 1101110110 1110111110 1111011111 1111110111 0110110111,213.0,410.0,410.0
