label,description,selection,n,k,pop_size,max_generations,Pc,Pm,best_run_index,best_fitness,assignment,group_sums
j_Pc_n40_Pc0.7,"Q2-j: effect of Pc n=40, Pc=0.7",roulette,40,12,100,400,0.7,0.2,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
j_Pc_n40_Pc0.9,"Q2-j: effect of Pc n=40, Pc=0.9",roulette,40,12,100,400,0.9,0.2,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
j_Pc_n40_Pc1.0,"Q2-j: effect of Pc n=40, Pc=1.0",roulette,40,12,100,400,1.0,0.2,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
j_Pc_n60_Pc0.6,"Q2-j: effect of Pc n=60, Pc=0.6",roulette,60,17,100,400,0.6,0.2,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
j_Pc_n60_Pc0.7,"Q2-j: effect of Pc n=60, Pc=0.7",roulette,60,17,100,400,0.7,0.2,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
j_Pc_n60_Pc0.9,"Q2-j: effect of Pc n=60, Pc=0.9",roulette,60,17,100,400,0.9,0.2,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
j_Pc_n60_Pc1.0,"Q2-j: effect of Pc n=60, Pc=1.0",roulette,60,17,100,400,1.0,0.2,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
ch_Pm_n10_Pm0.05,"Q2-ch: effect of Pm n=10, Pm=0.05",roulette,10,5,100,400,0.8,0.05,3,0.25,1 5 1 4 3 1 4 3 5 2,g1: 10; g2: 10; g3: 13; g4: 11; g5: 11
ch_Pm_n10_Pm0.1,"Q2-ch: effect of Pm n=10, Pm=0.1",roulette,10,5,100,400,0.8,0.1,0,0.25,4 1 4 5 2 4 5 2 1 3,g1: 11; g2: 13; g3: 10; g4: 10; g5: 11
ch_Pm_n10_Pm0.3,"Q2-ch: effect of Pm n=10, Pm=0.3",roulette,10,5,100,400,0.8,0.3,0,0.25,3 2 3 5 4 3 5 4 2 1,g1: 10; g2: 11; g3: 10; g4: 13; g5: 11
ch_Pm_n10_Pm0.5,"Q2-ch: effect of Pm n=10, Pm=0.5",roulette,10,5,100,400,0.8,0.5,0,0.25,3 1 3 5 4 3 5 4 1 2,g1: 11; g2: 10; g3: 10; g4: 13; g5: 11
ch_Pm_n20_Pm0.05,"Q2-ch: effect of Pm n=20, Pm=0.05",roulette,20,8,100,400,0.8,0.05,3,0.1111111111111111,2 5 1 5 3 8 2 7 6 3 | 4 1 6 3 1 4 8 5 7 2,g1: 30; g2: 28; g3: 29; g4: 27; g5: 24; g6: 22; g7: 27; g8: 23
ch_Pm_n20_Pm0.1,"Q2-ch: effect of Pm n=20, Pm=0.1",roulette,20,8,100,400,0.8,0.1,0,0.1111111111111111,2 8 5 2 3 8 2 3 6 3 | 4 2 1 7 4 8 7 1 6 5,g1: 31; g2: 24; g3: 23; g4: 26; g5: 23; g6: 28; g7: 31; g8: 24
ch_Pm_n20_Pm0.3,"Q2-ch: effect of Pm n=20, Pm=0.3",roulette,20,8,100,400,0.8,0.3,1,0.1,2 4 3 2 8 5 7 2 6 8 | 2 3 1 3 7 8 6 1 5 4,g1: 31; g2: 24; g3: 29; g4: 22; g5: 25; g6: 26; g7: 22; g8: 31
ch_Pm_n20_Pm0.5,"Q2-ch: effect of Pm n=20, Pm=0.5",roulette,20,8,100,400,0.8,0.5,3,0.08333333333333333,6 2 1 5 8 1 3 5 6 4 | 7 8 4 7 1 8 6 3 5 2,g1: 24; g2: 22; g3: 25; g4: 23; g5: 31; g6: 27; g7: 25; g8: 33
ch_Pm_n40_Pm0.05,"Q2-ch: effect of Pm n=40, Pm=0.05",roulette,40,12,100,400,0.8,0.05,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
ch_Pm_n40_Pm0.1,"Q2-ch: effect of Pm n=40, Pm=0.1",roulette,40,12,100,400,0.8,0.1,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
ch_Pm_n40_Pm0.3,"Q2-ch: effect of Pm n=40, Pm=0.3",roulette,40,12,100,400,0.8,0.3,0,0.014705882352941176,12 1 8 3 11 8 10 11 5 11 | 9 7 4 11 4 9 2 8 5 1 | 2 12 3 8 3 12 6 10 6 11 | 7 4 1 10 4 8 12 9 1 7,g1: 94; g2: 38; g3: 52; g4: 95; g5: 28; g6: 56; g7: 83; g8: 87; g9: 65; g10: 69; g11: 67; g12: 86
ch_Pm_n40_Pm0.5,"Q2-ch: effect of Pm n=40, Pm=0.5",roulette,40,12,100,400,0.8,0.5,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
ch_Pm_n60_Pm0.05,"Q2-ch: effect of Pm n=60, Pm=0.05",roulette,60,17,100,400,0.8,0.05,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
ch_Pm_n60_Pm0.1,"Q2-ch: effect of Pm n=60, Pm=0.1",roulette,60,17,100,400,0.8,0.1,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
ch_Pm_n60_Pm0.3,"Q2-ch: effect of Pm n=60, Pm=0.3",roulette,60,17,100,400,0.8,0.3,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
ch_Pm_n60_Pm0.5,"Q2-ch: effect of Pm n=60, Pm=0.5",roulette,60,17,100,400,0.8,0.5,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
